학교명,raw_rows,raw_metric_nonnull,final_admission_department_labels,already_crawled_flag,needs_adiga_search
가야대학교(김해),0,0,0,False,True
가천대학교,60,60,42,True,False
가톨릭관동대학교,0,0,0,False,True
가톨릭꽃동네대학교,0,0,0,False,True
가톨릭대학교,38,38,1,True,False
가톨릭대학교_제2캠퍼스,0,0,0,False,True
가톨릭대학교_제3캠퍼스,0,0,0,False,True
감리교신학대학교,0,0,0,False,True
강남대학교,0,0,0,False,True
강서대학교,0,0,0,False,True
강원대학교,62,62,48,True,False
강원대학교_제2캠퍼스,0,0,0,False,True
건국대학교,50,50,48,True,False
건국대학교(글로컬)_분교,0,0,0,False,True
건양대학교,0,0,0,False,True
건양대학교_제2캠퍼스,0,0,0,False,True
경기대학교,56,56,26,True,False
경기대학교_제2캠퍼스,0,0,0,False,True
경남과학기술대학교(폐교),0,0,0,False,True
경남대학교,0,0,0,False,True
경동대학교,0,0,0,False,True
경동대학교_제3캠퍼스,0,0,0,False,True
경동대학교_제4캠퍼스,0,0,0,False,True
경북대학교,108,105,96,True,False
경상국립대학교,0,0,0,False,True
경성대학교,0,0,0,False,True
경운대학교,0,0,0,False,True
경인교육대학교,0,0,0,False,True
경인교육대학교_제2캠퍼스,0,0,0,False,True
경일대학교,0,0,0,False,True
경희대학교,85,85,73,True,False
계명대학교,0,0,0,False,True
고려대학교,200,140,58,True,False
고려대학교(세종)_분교,0,0,0,False,True
고신대학교,0,0,0,False,True
공주교육대학교,0,0,0,False,True
광신대학교,0,0,0,False,True
광운대학교,65,57,28,True,False
광주가톨릭대학교,0,0,0,False,True
광주과학기술원,0,0,0,False,True
광주교육대학교,0,0,0,False,True
광주대학교,0,0,0,False,True
광주여자대학교,0,0,0,False,True
국립강릉원주대학교(폐교),0,0,0,False,True
국립강릉원주대학교_제2캠퍼스(폐교),0,0,0,False,True
국립경국대학교,0,0,0,False,True
국립공주대학교,0,0,0,False,True
국립군산대학교,0,0,0,False,True
국립금오공과대학교,0,0,0,False,True
국립목포대학교,0,0,0,False,True
국립목포해양대학교,0,0,0,False,True
국립부경대학교,0,0,0,False,True
국립순천대학교,0,0,0,False,True
국립창원대학교,0,0,0,False,True
국립한국교통대학교,0,0,0,False,True
국립한국해양대학교,0,0,0,False,True
국립한밭대학교,0,0,0,False,True
국민대학교,62,62,38,True,False
극동대학교,0,0,0,False,True
금강대학교,0,0,0,False,True
김천대학교,0,0,0,False,True
나사렛대학교,0,0,0,False,True
남부대학교,0,0,0,False,True
남서울대학교,0,0,0,False,True
단국대학교,78,78,28,True,False
단국대학교_제2캠퍼스,0,0,0,False,True
대구가톨릭대학교,0,0,0,False,True
대구경북과학기술원,0,0,0,False,True
대구교육대학교,0,0,0,False,True
대구대학교,0,0,0,False,True
대구예술대학교,0,0,0,False,True
대구한의대학교,0,0,0,False,True
대신대학교,0,0,0,False,True
대전가톨릭대학교,0,0,0,False,True
대전대학교,0,0,0,False,True
대전신학대학교,0,0,0,False,True
대진대학교,0,0,0,False,True
덕성여자대학교,7,7,0,True,False
동국대학교,52,52,43,True,False
동국대학교(WISE)_분교,0,0,0,False,True
동덕여자대학교,86,76,9,True,False
동명대학교,0,0,0,False,True
동서대학교,0,0,0,False,True
동신대학교,0,0,0,False,True
동아대학교,0,0,0,False,True
동양대학교,0,0,0,False,True
동의대학교,0,0,0,False,True
루터대학교,0,0,0,False,True
명지대학교,22,22,5,True,False
명지대학교_제2캠퍼스,0,0,0,False,True
목원대학교,0,0,0,False,True
목포가톨릭대학교,0,0,0,False,True
배재대학교,0,0,0,False,True
백석대학교,0,0,0,False,True
부산가톨릭대학교,0,0,0,False,True
부산교육대학교,0,0,0,False,True
부산대학교,109,103,92,True,False
부산외국어대학교,0,0,0,False,True
부산장신대학교,0,0,0,False,True
삼육대학교,67,67,16,True,False
상명대학교,29,29,11,True,False
상명대학교_제2캠퍼스,0,0,0,False,True
상지대학교,0,0,0,False,True
서강대학교,27,27,16,True,False
서경대학교,43,40,18,True,False
서울과학기술대학교,41,41,1,True,False
서울교육대학교,0,0,0,False,True
서울기독대학교,0,0,0,False,True
서울대학교,91,89,60,True,False
서울시립대학교,40,38,34,True,False
서울신학대학교,0,0,0,False,True
서울여자대학교,41,41,35,True,False
서울장신대학교,0,0,0,False,True
서울한영대학교,0,0,0,False,True
서원대학교,0,0,0,False,True
선문대학교,0,0,0,False,True
성결대학교,0,0,0,False,True
성공회대학교,0,0,0,False,True
성균관대학교,30,30,21,True,False
성신여자대학교,56,56,25,True,False
세명대학교,0,0,0,False,True
세종대학교,31,31,6,True,False
세한대학교,0,0,0,False,True
송원대학교,0,0,0,False,True
수원가톨릭대학교,0,0,0,False,True
수원대학교,56,55,22,True,False
숙명여자대학교,42,40,40,True,False
순복음총회신학교,0,0,0,False,True
순천향대학교,0,0,0,False,True
숭실대학교,41,41,39,True,False
신경주대학교,0,0,0,False,True
신라대학교,0,0,0,False,True
신한대학교,0,0,0,False,True
신한대학교_제2캠퍼스,0,0,0,False,True
아신대학교,0,0,0,False,True
아주대학교,37,37,34,True,False
안양대학교,0,0,0,False,True
안양대학교_제2캠퍼스,0,0,0,False,True
연세대학교,249,82,45,True,False
연세대학교(미래)_분교,0,0,0,False,True
영남대학교,0,0,0,False,True
영남신학대학교,0,0,0,False,True
영산대학교(양산)_제2캠퍼스,0,0,0,False,True
영산대학교(해운대),0,0,0,False,True
영산선학대학교,0,0,0,False,True
예수대학교,0,0,0,False,True
예원예술대학교,0,0,0,False,True
예원예술대학교_제2캠퍼스,0,0,0,False,True
용인대학교,0,0,0,False,True
우석대학교,0,0,0,False,True
우송대학교,0,0,0,False,True
울산과학기술원,0,0,0,False,True
울산대학교,0,0,0,False,True
원광대학교,0,0,0,False,True
위덕대학교,0,0,0,False,True
유원대학교,0,0,0,False,True
을지대학교,0,0,0,False,True
을지대학교_제2캠퍼스,0,0,0,False,True
을지대학교_제3캠퍼스,0,0,0,False,True
이화여자대학교,24,24,14,True,False
인제대학교,0,0,0,False,True
인천가톨릭대학교,0,0,0,False,True
인천가톨릭대학교_제2캠퍼스,0,0,0,False,True
인천대학교,55,55,55,True,False
인하대학교,56,56,54,True,False
장로회신학대학교,0,0,0,False,True
전남대학교,108,108,75,True,False
전남대학교_제2캠퍼스,0,0,0,False,True
전북대학교,121,101,91,True,False
전주교육대학교,0,0,0,False,True
전주대학교,0,0,0,False,True
제주국제대학교,0,0,0,False,True
제주대학교,0,0,0,False,True
조선대학교,0,0,0,False,True
중부대학교,0,0,0,False,True
중앙대학교,60,60,36,True,False
중앙대학교_제2캠퍼스,0,0,0,False,True
중앙승가대학교,0,0,0,False,True
중원대학교,0,0,0,False,True
진주교육대학교,0,0,0,False,True
차의과학대학교,0,0,0,False,True
창신대학교,0,0,0,False,True
청운대학교,0,0,0,False,True
청주교육대학교,0,0,0,False,True
청주대학교,0,0,0,False,True
초당대학교,0,0,0,False,True
총신대학교,0,0,0,False,True
추계예술대학교,0,0,0,False,True
춘천교육대학교,0,0,0,False,True
충남대학교,126,125,86,True,False
충북대학교,83,82,77,True,False
칼빈대학교,0,0,0,False,True
평택대학교,0,0,0,False,True
포항공과대학교,0,0,0,False,True
한경국립대학교,0,0,0,False,True
한국공학대학교,80,78,13,True,False
한국과학기술원,0,0,0,False,True
한국교원대학교,0,0,0,False,True
한국기술교육대학교,0,0,0,False,True
한국방송통신대학교,0,0,0,False,True
한국성서대학교,0,0,0,False,True
한국에너지공과대학교,0,0,0,False,True
한국예술종합학교,0,0,0,False,True
한국외국어대학교,72,72,3,True,False
한국전통문화대학교,0,0,0,False,True
한국체육대학교,0,0,0,False,True
한국침례신학대학교,0,0,0,False,True
한국항공대학교,35,28,10,True,False
한남대학교,0,0,0,False,True
한동대학교,0,0,0,False,True
한라대학교,0,0,0,False,True
한림대학교,0,0,0,False,True
한서대학교,0,0,0,False,True
한성대학교,15,15,0,True,False
한세대학교,0,0,0,False,True
한신대학교,0,0,0,False,True
한양대학교,89,89,51,True,False
한양대학교(ERICA)_분교,0,0,0,False,True
한일장신대학교,0,0,0,False,True
협성대학교,0,0,0,False,True
호남대학교,0,0,0,False,True
호남신학대학교,0,0,0,False,True
호서대학교,0,0,0,False,True
호원대학교,0,0,0,False,True
홍익대학교,50,50,28,True,False
홍익대학교_제2캠퍼스,0,0,0,False,True
화성의과학대학교,0,0,0,False,True
