column,role,semantic_type,source,zero_policy,null_policy
기준연도,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
분석단위,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
구분,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
계열,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
분석대상자_명,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_중위소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균_중위_차이만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균_중위_비율,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_log10_평균소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_log10_중위소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100~200만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100~200만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_200~300만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_200~300만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300~400만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300~400만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_400만원이상_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_400만원이상_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300만원이상_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_200만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_대기업_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_대기업_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_중견기업_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_중견기업_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_중소기업_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_중소기업_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_국가및지방_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_국가및지방_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_공공기관_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_공공기관_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_비영리_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_비영리_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_기타_명,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_기타_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_대중견기업_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
company_공공비영리_pct,feature,competitive_company_type_count_or_share,company,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
cert_자격증취득자_명,feature,certificate_major_feature,cert_major,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
cert_자격증취득률_pct,feature,certificate_major_feature,cert_major,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
cert_자격증취득수_건,feature,certificate_major_feature,cert_major,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
cert_1인당자격증취득수,feature,certificate_major_feature,cert_major,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_top1,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_top1_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_top3_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_hhi,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_제조업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_정보통신업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_전문과학기술업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_공공행정_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_교육서비스업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_보건사회복지업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_예술스포츠여가업_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_분류결측값_명,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_분류결측값_pct,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
industry_분류결측값_flag,feature_or_quality_flag,industry_mix_feature,industry,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
job_cert_joined,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
job_cert_policy,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
zero_policy,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
null_policy,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
has_merge_null,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
